ParticipantID,Notification Time,Session Name,WeekNumber,NotificationNumber,Completed Session,Session Instance,Session Length,Valence,Intensity,Arousal,Emotion
28774-003586,14:52.0,Survey,2,58,1,50,01:43.8,5,1,4,pleasent 
28774-003586,05:49.0,Survey,2,59,1,51,00:20.0,3,1,5,bored
28774-003586,52:56.0,Survey,2,61,1,52,00:29.5,5,1,5,neautral 
28774-003586,54:57.0,Survey,2,63,1,53,01:48.1,5,1,4,I'm feeling generous. 
28774-003586,42:10.0,Survey,2,64,1,54,11:24.7,5,1,5,free
28774-003586,39:09.0,Survey,2,65,1,55,00:33.4,5,1,5,happy 
28774-003586,27:40.0,Survey,2,68,1,56,00:32.2,5,1,5,bothered 
28774-003586,59:42.0,Survey,2,69,1,57,16:18.6,4,0,4,bored
28774-003586,40:57.0,Survey,2,70,1,58,00:16.9,4,0,5,aroused
28774-003586,44:53.0,Survey_Sleep,2,8,1,3,00:52.2,6,2,6,focused 
28774-003586,13:34.0,Survey_Sleep,2,9,1,4,00:49.2,4,0,4,fog
28774-003586,15:19.0,Survey_Sleep,2,11,1,5,01:25.3,4,0,4,anxious 
28774-003586,02:56.0,Survey,3,71,1,59,00:42.7,4,0,4,feeling bit foggy 
28774-003586,05:48.0,Survey,3,72,1,60,00:39.3,6,2,6,happy
28774-003586,44:36.0,Survey,3,73,1,61,00:44.8,5,1,3,neutral 
28774-003586,36:57.0,Survey,3,74,1,62,00:37.9,3,1,4,bothered 
28774-003586,53:43.0,Survey,3,75,1,63,00:46.3,5,1,5,relaxed 
28774-003586,03:31.0,Survey,3,76,1,64,00:36.5,4,0,3,bored
28774-003586,37:00.0,Survey,3,78,1,65,00:38.2,4,0,5,ill
28774-003586,45:35.0,Survey,3,80,1,66,01:07.0,3,1,2,annoyed 
28774-003586,45:41.0,Survey,3,81,1,67,00:44.4,4,0,4,tired
28774-003586,12:34.0,Survey,3,82,1,68,00:32.4,6,2,4, in tune 
28774-003586,57:47.0,Survey,3,83,1,69,00:36.2,4,0,5,neutral 
28774-003586,57:56.0,Survey,3,84,1,70,00:29.1,5,1,4,content 
28774-003586,21:04.0,Survey,3,85,1,71,00:50.5,5,1,4,sigh 
28774-003586,01:01.0,Survey,3,86,1,72,01:22.5,5,1,4,bothered 
28774-003586,17:53.0,Survey,3,87,1,73,00:35.5,4,0,5,bothered 
28774-003586,05:25.0,Survey,3,88,1,74,01:30.8,3,1,5,annoyed 
28774-003586,35:54.0,Survey,3,89,1,75,00:31.3,3,1,4,focused 
28774-003586,25:11.0,Survey,3,90,1,76,00:29.8,5,1,5,cold
28774-003586,35:27.0,Survey,3,91,1,77,00:47.9,4,0,3,bothered 
28774-003586,17:05.0,Survey,3,92,1,78,16:17.1,5,1,4,inspired 
28774-003586,39:11.0,Survey,3,93,1,79,00:24.1,5,1,5,content
28774-003586,32:04.0,Survey,3,94,1,80,02:32.0,3,1,4,annoyed
28774-003586,11:11.0,Survey,3,95,1,81,00:25.9,4,0,4,bothered 
28774-003586,41:17.0,Survey,3,96,1,82,01:13.4,4,0,3,neutral 
28774-003586,32:23.0,Survey,3,97,1,83,00:27.6,5,1,4,content 
28774-003586,51:15.0,Survey,3,98,1,84,02:58.0,3,1,4,content and bit annoyed 
28774-003586,29:09.0,Survey,3,99,1,85,00:33.2,4,0,4,bored
28774-003586,45:53.0,Survey,3,100,1,86,00:20.9,5,1,4,happy
28774-003586,41:22.0,Survey,3,102,1,87,04:10.3,4,0,3,stale
28774-003586,32:01.0,Survey,3,103,1,88,01:02.8,4,0,2,neutral 
28774-003586,48:14.0,Survey,3,104,1,89,01:05.0,4,0,4,neutral 
28774-003586,31:47.0,Survey,3,105,1,90,00:39.8,5,1,5,content 
28774-003586,37:03.0,Survey_Sleep,3,15,1,6,00:45.3,3,1,3,hurt 
28774-003586,04:00.0,Survey_Sleep,3,16,1,7,00:49.9,4,0,4,foggy 
28774-003586,01:43.0,Survey_Sleep,3,17,1,8,00:42.7,4,0,3,nice 
28774-003586,31:03.0,Survey_Sleep,3,18,1,9,00:59.0,4,0,2,sleepy
28774-003586,01:11.0,Survey_Sleep,3,19,1,10,00:51.8,5,1,4,tired
28774-003586,06:56.0,Survey_Sleep,3,20,1,11,01:03.3,3,1,3,tired 
28774-003586,07:44.0,Survey,4,106,1,91,00:46.8,5,1,4,happy
28774-003586,01:32.0,Survey,4,108,1,92,00:44.6,4,0,3,neutral 
28774-003586,38:15.0,Survey,4,109,1,93,00:33.7,3,1,4,content 
28774-003586,16:58.0,Survey,4,110,1,94,00:34.2,3,1,3,annoyed and tired 
28774-003586,03:27.0,Survey,4,111,1,95,00:44.2,4,0,4,tires
28774-003586,03:00.0,Survey,4,112,1,96,00:45.8,5,1,3,content 
28774-003586,17:57.0,Survey,4,116,1,97,01:11.6,4,0,3,"bit annoyed, fear and vulnerable. "
28774-003586,58:16.0,Survey,4,117,1,98,00:41.8,4,0,3,uneasy 
28774-003586,49:51.0,Survey,4,118,1,99,00:35.3,3,1,3,"annoyed, tired and irritant "
28774-003586,27:27.0,Survey,4,119,1,100,03:13.4,4,0,3,bothered 
28774-003586,19:54.0,Survey,4,121,1,101,00:26.2,4,0,3,tired
28774-003586,08:42.0,Survey,4,122,1,102,00:54.1,3,1,5,overthiking 
28774-003586,49:11.0,Survey,4,123,1,103,00:32.9,4,0,5,focused 
28774-003586,54:45.0,Survey,4,124,1,104,00:26.4,4,0,3,relieved 
28774-003586,47:25.0,Survey,4,125,1,105,00:27.9,4,0,4,neutral 
28774-003586,20:58.0,Survey,4,129,1,106,00:21.6,3,1,5,"bored, "
28774-003586,00:24.0,Survey,4,130,1,107,00:47.3,4,0,5,sick 
28774-003586,34:08.0,Survey,4,132,1,109,00:24.9,3,1,5,bothered 
28774-003586,52:33.0,Survey,4,133,1,110,01:13.3,3,1,4,concerned 
28774-003586,53:16.0,Survey,4,134,1,111,00:41.4,4,0,3,pleasant 
28774-003586,24:22.0,Survey,4,135,1,112,00:18.5,3,1,3,content 
28774-003586,22:34.0,Survey,4,136,1,113,00:37.0,4,0,3,tired 
28774-003586,52:44.0,Survey,4,137,1,114,00:29.3,3,1,4,bored 
28774-003586,35:07.0,Survey,4,139,1,115,00:30.9,6,2,6,happy 😊 
28774-003586,16:44.0,Survey_Sleep,4,22,1,12,00:42.5,4,0,4,sleepy
28774-003586,13:03.0,Survey_Sleep,4,23,1,13,01:14.3,4,0,3,tired 
28774-003586,14:51.0,Survey_Sleep,4,25,1,14,00:26.8,5,1,3,sad
28774-003586,26:05.0,Survey_Sleep,4,27,1,15,00:54.9,4,0,3,sleepy 
28774-003586,42:13.0,Survey_Sleep,4,28,1,16,00:38.8,4,0,4,tir2d
28774-012386,58:15.0,Survey,1,1,1,1,01:56.4,2,2,3,tired
28774-012386,25:26.0,Survey,1,2,1,2,01:06.2,4,0,4,determined 
28774-012386,06:17.0,Survey,1,3,1,3,00:54.3,5,1,5,excited
28774-012386,00:54.0,Survey,1,4,1,4,01:00.0,4,0,2,undecisive
28774-012386,34:11.0,Survey,1,5,1,5,00:41.9,5,1,5,fast
28774-012386,25:09.0,Survey,1,6,1,6,00:41.5,5,1,6,friends
28774-012386,54:18.0,Survey,1,7,1,7,00:55.8,4,0,2,uncertain
28774-012386,42:09.0,Survey,1,8,1,8,01:00.0,5,1,2,"sleepy,"
28774-012386,34:11.0,Survey,1,9,1,9,00:45.3,3,1,2,tired
28774-012386,46:35.0,Survey,1,10,1,10,00:35.9,5,1,6,focused
28774-012386,50:42.0,Survey,1,11,1,11,00:41.8,3,1,5,focused
28774-012386,54:46.0,Survey,1,13,1,12,00:35.0,3,1,3,focused
28774-012386,07:50.0,Survey,1,14,1,13,00:59.5,4,0,5,a bit concerned
28774-012386,56:23.0,Survey,1,15,1,14,00:33.5,4,0,5,ready
28774-012386,26:14.0,Survey,1,16,1,15,00:32.3,5,1,3,content
28774-012386,23:34.0,Survey,1,17,1,16,00:44.9,5,1,6,buttersweet
28774-012386,16:46.0,Survey,1,18,1,17,00:31.8,5,1,6,happy
28774-012386,05:13.0,Survey,1,19,1,18,00:37.7,5,1,6,content
28774-012386,46:25.0,Survey,1,20,1,19,00:29.5,5,1,5,enjoying work
28774-012386,27:34.0,Survey,1,21,1,20,00:33.6,5,1,6,content
28774-012386,08:05.0,Survey,1,22,1,21,00:32.7,5,1,5,searching
28774-012386,36:02.0,Survey,1,24,1,22,00:32.3,5,1,6,happy
28774-012386,59:37.0,Survey,1,25,1,23,01:03.2,7,3,5,active
28774-012386,33:43.0,Survey,1,26,1,24,00:33.2,5,1,6,feeling clean
28774-012386,03:46.0,Survey,1,27,1,25,00:31.2,3,1,3,sleppy
28774-012386,00:21.0,Survey,1,28,1,26,00:27.9,2,2,6,uncomfortable 
28774-012386,47:04.0,Survey,1,29,1,27,00:34.7,5,1,5,bored
28774-012386,40:50.0,Survey,1,31,1,28,00:36.5,2,2,2,still sleepy
28774-012386,40:28.0,Survey,1,32,1,29,00:34.0,2,2,2,blue
28774-012386,51:53.0,Survey,1,33,1,30,00:25.0,5,1,5,focused 
28774-012386,31:23.0,Survey,1,34,1,31,00:28.3,5,1,6,relaxing
28774-012386,24:50.0,Survey,1,35,1,32,00:27.1,5,1,5,sorting out
28774-012386,04:49.0,Survey_Sleep,1,2,1,1,01:19.2,4,0,3,sleepy
28774-012386,13:52.0,Survey_Sleep,1,3,1,2,03:19.6,3,1,2,sleepy
28774-012386,42:53.0,Survey_Sleep,1,4,1,3,00:40.8,5,1,4,waking up
28774-012386,00:14.0,Survey_Sleep,1,5,1,4,00:37.5,5,1,5,figuring out stuff
28774-012386,38:53.0,Survey_Sleep,1,6,1,5,00:48.2,5,1,5,waking up
28774-012386,41:20.0,Survey,2,36,1,33,00:27.2,5,1,6,creative
28774-012386,18:10.0,Survey,2,37,1,34,00:42.4,5,1,5,happy
28774-012386,00:05.0,Survey,2,38,1,35,00:27.7,5,1,6,"focused,"
28774-012386,22:05.0,Survey,2,40,1,36,00:31.8,5,1,6,easygoing and excited
28774-012386,11:38.0,Survey,2,41,1,37,00:28.4,5,1,6,focused
28774-012386,00:11.0,Survey,2,42,1,38,00:41.6,5,1,5,hungry
28774-012386,04:04.0,Survey,2,43,1,39,00:32.3,6,2,5,easygoing 
28774-012386,31:27.0,Survey,2,45,1,40,00:46.5,2,2,2,sleepy
28774-012386,26:16.0,Survey,2,46,1,41,00:30.6,4,0,4,relaxed
28774-012386,52:41.0,Survey,2,47,1,42,00:33.6,4,0,5,uneasy
28774-012386,43:04.0,Survey,2,49,1,44,16:36.7,5,1,5,happy
28774-012386,49:34.0,Survey,2,51,1,45,00:24.9,6,2,5,focused on work
28774-012386,22:27.0,Survey,2,52,1,46,00:28.2,5,1,6,energized
28774-012386,22:45.0,Survey,2,53,1,47,00:24.5,5,1,5,happy
28774-012386,01:20.0,Survey,2,54,1,48,00:25.4,5,1,6,focused
28774-012386,31:02.0,Survey,2,55,1,49,00:39.6,5,1,6,easygoing
28774-012386,04:06.0,Survey,2,56,1,50,01:10.9,4,0,6,decompressing 
28774-012386,47:37.0,Survey,2,57,1,51,00:25.7,5,1,1,tired 
28774-012386,12:48.0,Survey,2,59,1,52,00:42.5,6,2,2,tired
28774-012386,08:34.0,Survey,2,61,1,54,00:33.8,3,1,3,confused
28774-012386,26:51.0,Survey,2,62,1,55,00:43.7,5,1,5,wondering about people 
28774-012386,51:16.0,Survey,2,63,1,56,00:28.8,2,2,3,sad
28774-012386,57:26.0,Survey,2,65,1,57,00:30.0,5,1,7,focused on tasks
28774-012386,14:26.0,Survey,2,66,1,58,00:27.2,2,2,3,tired
28774-012386,08:56.0,Survey,2,67,1,59,00:30.5,2,2,3,worry
28774-012386,08:59.0,Survey,2,70,1,60,00:36.3,2,2,4,sorting out thoughts 
28774-012386,32:00.0,Survey_Sleep,2,9,1,6,00:33.8,1,1,5,sad
28774-012386,19:22.0,Survey_Sleep,2,11,1,7,00:41.6,3,1,5,waking up
28774-012386,26:36.0,Survey_Sleep,2,14,1,8,00:43.4,3,1,2,weather too hot to think 
28774-012386,50:14.0,Survey,3,71,1,61,00:37.5,3,1,4,still activating 
28774-012386,38:46.0,Survey,3,72,1,62,00:31.4,3,1,5,activating 
28774-012386,57:17.0,Survey,3,73,1,63,00:34.4,3,1,5,aching
28774-012386,44:11.0,Survey,3,74,1,64,00:42.3,5,1,5,slightly at ease
28774-012386,36:36.0,Survey,3,75,1,65,00:25.8,2,2,3,sick
28774-012386,37:29.0,Survey,3,76,1,66,00:30.8,4,0,5,excited
28774-012386,42:01.0,Survey,3,77,1,67,00:38.2,4,0,5,Mind blank
28774-012386,17:44.0,Survey,3,78,1,68,00:24.3,5,1,6,creative 
28774-012386,47:05.0,Survey,3,79,1,69,00:49.3,4,0,4,relaxed 
28774-012386,36:51.0,Survey,3,80,1,70,00:28.7,5,1,5,wasygoing
28774-012386,43:05.0,Survey,3,81,1,71,00:26.2,5,1,6,active
28774-012386,58:08.0,Survey,3,82,1,72,00:26.9,5,1,6,at ease
28774-012386,59:13.0,Survey,3,83,1,73,00:27.2,5,1,5,focused
28774-012386,38:54.0,Survey,3,84,1,74,00:32.6,6,2,5,focused
28774-012386,40:15.0,Survey,3,85,1,75,00:51.3,6,2,5,nervous
28774-012386,46:07.0,Survey,3,86,1,76,00:32.4,5,1,5,stresses
28774-012386,13:56.0,Survey,3,87,1,77,00:32.4,5,1,3,hopeless
28774-012386,54:32.0,Survey,3,88,1,78,00:26.3,5,1,4,content
28774-012386,41:01.0,Survey,3,89,1,79,00:28.1,5,1,5,concentrated
28774-012386,25:05.0,Survey,3,90,1,80,00:33.2,4,0,2,sleepy 
28774-012386,38:18.0,Survey,3,96,1,81,00:29.3,6,2,5,stressed and bored
28774-012386,56:09.0,Survey,3,97,1,82,00:36.4,5,1,5,taking a break
28774-012386,43:25.0,Survey,3,98,1,83,00:25.3,3,1,4,focused 
28774-012386,09:06.0,Survey,3,100,1,84,00:29.9,3,1,5,excited
28774-012386,42:59.0,Survey,3,101,1,85,00:31.3,5,1,4,fired up
28774-012386,48:21.0,Survey,3,102,1,86,00:44.6,5,1,4,uneasy
28774-012386,07:50.0,Survey,3,103,1,87,00:28.2,2,2,3,tired
28774-012386,44:41.0,Survey,3,105,1,88,00:31.9,5,1,6,focused
28774-012386,03:29.0,Survey_Sleep,3,16,1,9,00:54.7,4,0,3,sleepy
28774-012386,23:48.0,Survey_Sleep,3,18,1,10,02:29.3,5,1,3,tired
28774-012386,37:21.0,Survey_Sleep,3,20,1,11,00:26.9,6,2,6,focused on work
28774-012386,57:56.0,Survey,4,106,1,89,00:28.4,5,1,5,focused
28774-012386,16:07.0,Survey,4,108,1,91,25:16.6,5,1,5,agitated
28774-012386,53:26.0,Survey,4,109,1,92,00:31.6,5,1,4,blue
28774-012386,06:50.0,Survey,4,110,1,93,00:20.6,5,1,5,focused
28774-012386,13:22.0,Survey,4,111,1,94,01:04.4,5,1,5,confused
28774-012386,15:23.0,Survey,4,112,1,95,00:23.4,4,0,5,creative
28774-012386,25:46.0,Survey,4,113,1,96,00:48.2,5,1,5,tired
28774-012386,01:18.0,Survey,4,114,1,97,00:48.5,5,1,6,having fun
28774-012386,00:52.0,Survey,4,115,1,98,00:21.2,3,1,6,uneasy
28774-012386,38:00.0,Survey,4,116,1,99,00:28.7,5,1,4,relaxing
28774-012386,21:08.0,Survey,4,117,1,100,00:31.5,2,2,5,uneasy
28774-012386,57:41.0,Survey,4,118,1,101,07:07.7,5,1,2,agitated
28774-012386,43:44.0,Survey,4,119,1,102,00:32.8,5,1,4,concentrated
28774-012386,17:16.0,Survey,4,120,1,103,00:47.1,5,1,4,focused 
28774-012386,09:59.0,Survey,4,121,1,104,00:30.1,5,1,5,relaxed
28774-012386,15:24.0,Survey,4,122,1,105,00:28.7,5,1,3,tired
28774-012386,33:49.0,Survey,4,123,1,106,00:26.2,5,1,6,focused
28774-012386,04:54.0,Survey,4,124,1,107,00:25.4,6,2,5,focused
28774-012386,04:48.0,Survey,4,125,1,108,00:25.3,3,1,6,hopeless
28774-012386,38:41.0,Survey,4,126,1,109,00:31.5,3,1,6,angered
28774-012386,43:49.0,Survey,4,127,1,110,00:24.8,5,1,5,pleasant
28774-012386,57:31.0,Survey,4,128,1,111,00:31.5,5,1,3,worried 
28774-012386,52:37.0,Survey,4,129,1,112,00:30.4,6,2,4,trying to react
28774-012386,19:01.0,Survey,4,130,1,113,00:59.2,5,1,3,inspired 
28774-012386,24:49.0,Survey,4,131,1,114,00:23.8,3,1,2,nervous
28774-012386,38:32.0,Survey,4,132,1,115,00:21.6,3,1,4,tired
28774-012386,48:53.0,Survey,4,133,1,116,00:28.3,5,1,3,activated
28774-012386,15:01.0,Survey,4,134,1,117,00:26.8,3,1,3,tired
28774-012386,13:38.0,Survey,4,135,1,118,00:32.4,5,1,2,sleepy
28774-012386,10:45.0,Survey,4,136,1,119,00:23.8,3,1,3,sad
28774-012386,43:56.0,Survey,4,137,1,120,00:38.4,3,1,5,tired
28774-012386,09:21.0,Survey,4,138,1,121,00:23.7,3,1,3,tired
28774-012386,18:26.0,Survey,4,139,1,122,00:27.1,4,0,3,restless
28774-012386,09:06.0,Survey,4,140,1,123,00:24.8,5,1,3,agitated
28774-012386,59:05.0,Survey_Sleep,4,22,1,12,00:32.4,4,0,4,waking up
28774-012386,13:23.0,Survey_Sleep,4,23,1,13,00:37.1,4,0,4,numb
28774-012386,21:57.0,Survey_Sleep,4,24,1,14,00:34.5,5,1,5,at ease
28774-012386,35:27.0,Survey_Sleep,4,25,1,15,00:39.4,4,0,6,open
28774-012386,02:15.0,Survey_Sleep,4,27,1,16,00:37.8,4,0,4,conflicted 
28774-012386,54:16.0,Survey_Sleep,4,28,1,17,01:00.2,3,1,6,destressing
28774-026707,32:09.0,Survey,1,1,1,1,01:24.6,3,1,5,Sleepy
28774-026707,49:32.0,Survey,1,2,1,2,02:07.9,6,2,6,Energetic
28774-026707,16:46.0,Survey,1,3,1,3,00:50.8,3,1,3,Hungry
28774-026707,56:29.0,Survey,1,4,1,4,00:59.8,5,1,5,Full
28774-026707,45:07.0,Survey,1,6,1,5,01:01.6,3,1,3,Sick
28774-026707,04:12.0,Survey,1,7,1,6,01:14.8,5,1,3,Sore
28774-026707,37:12.0,Survey,1,8,1,7,00:52.6,5,1,5,Feeling too hot
28774-026707,01:48.0,Survey,1,9,1,8,00:50.5,3,1,3,Hungry
28774-026707,14:08.0,Survey,1,11,1,9,01:37.8,4,0,3,Sick
28774-026707,14:19.0,Survey,1,12,1,10,00:53.4,5,1,3,Full
28774-026707,57:49.0,Survey,1,13,1,11,00:54.3,4,0,5,Hot
28774-026707,19:32.0,Survey,1,15,1,12,01:26.9,3,1,5,Annoyed
28774-026707,09:29.0,Survey,1,16,1,13,02:15.0,2,2,3,Got an headache
28774-026707,53:30.0,Survey,1,17,1,14,00:55.5,5,1,5,Hungry
28774-026707,41:12.0,Survey,1,18,1,15,01:54.6,5,1,2,Tired
28774-026707,13:57.0,Survey,1,19,1,16,01:41.1,3,1,5,Tired
28774-026707,13:36.0,Survey,1,20,1,17,02:16.8,5,1,3,Full
28774-026707,38:00.0,Survey,1,21,1,18,01:09.5,1,1,1,Really sick
28774-026707,23:33.0,Survey,1,22,1,19,01:02.2,1,1,2,Even sickier
28774-026707,06:29.0,Survey,1,23,1,20,01:16.0,1,1,3,Sick
28774-026707,50:34.0,Survey,1,24,1,21,03:27.4,1,1,2,Body aches
28774-026707,09:00.0,Survey,1,25,1,22,01:22.7,1,1,2,In pain
28774-026707,55:51.0,Survey,1,28,1,23,00:44.6,2,2,2,Still sick
28774-026707,35:18.0,Survey,1,29,1,24,00:54.2,2,2,2,In pain
28774-026707,18:42.0,Survey,1,31,1,25,00:49.2,3,1,2,Asleep
28774-026707,02:59.0,Survey,1,32,1,26,00:39.7,3,1,3,Relaxed
28774-026707,49:57.0,Survey,1,35,1,27,01:50.0,4,0,5,In pain
28774-026707,13:42.0,Survey_Sleep,1,3,1,1,01:08.5,5,1,2,Sleepy 
28774-026707,04:44.0,Survey_Sleep,1,4,1,2,01:01.5,5,1,3,Sore
28774-026707,01:20.0,Survey_Sleep,1,5,1,3,00:58.4,2,2,2,I have a cold.
28774-026707,15:02.0,Survey,2,36,1,28,00:46.5,5,1,3,Feeling better
28774-026707,15:57.0,Survey,2,37,1,29,01:23.7,5,1,2,Lazy
28774-026707,44:19.0,Survey,2,38,1,30,02:18.9,5,1,3,Relaxed
28774-026707,15:46.0,Survey,2,39,1,31,01:04.1,5,1,5,Tired
28774-026707,31:50.0,Survey,2,40,1,32,00:46.9,5,1,3,Uneasy
28774-026707,42:16.0,Survey,2,41,1,33,01:08.6,6,2,2,Asleep
28774-026707,30:41.0,Survey,2,42,1,34,01:22.3,5,1,2,Covid
28774-026707,10:01.0,Survey,2,43,1,35,07:07.7,5,1,3,Calm
28774-026707,45:11.0,Survey,2,44,1,36,06:43.6,6,2,3,Irritated
28774-026707,30:11.0,Survey,2,45,1,37,00:36.0,3,1,3,Annoyed
28774-026707,15:28.0,Survey,2,47,1,38,00:40.7,3,1,3,Hungry
28774-026707,29:27.0,Survey,2,48,1,39,04:14.4,5,1,2,Full
28774-026707,35:17.0,Survey,2,49,1,40,00:54.4,2,2,2,Very hungry
28774-026707,54:54.0,Survey,2,50,1,41,04:21.8,3,1,3,Headache
28774-026707,26:41.0,Survey,2,52,1,42,00:52.2,3,1,3,Irritated
28774-026707,51:51.0,Survey,2,53,1,43,01:09.5,2,2,2,Lazy
28774-026707,01:46.0,Survey,2,55,1,44,00:55.4,3,1,2,Relaxed
28774-026707,50:50.0,Survey,2,57,1,45,00:58.5,4,0,1,Sleepy
28774-026707,09:18.0,Survey,2,58,1,46,04:48.6,5,1,2,Relaxed
28774-026707,00:35.0,Survey,2,59,1,47,01:01.7,5,1,2,Lazy
28774-026707,49:19.0,Survey,2,60,1,48,00:29.9,3,1,2,Lazy
28774-026707,14:22.0,Survey,2,62,1,49,08:11.8,4,0,3,Relaxed
28774-026707,56:39.0,Survey,2,63,1,50,00:50.8,5,1,3,Lazy
28774-026707,45:07.0,Survey,2,64,1,51,02:29.5,5,1,2,Relaxed
28774-026707,28:34.0,Survey,2,65,1,52,07:07.3,3,1,3,Relaxed
28774-026707,06:56.0,Survey,2,67,1,53,00:47.7,5,1,2,Almost asleep
28774-026707,34:51.0,Survey,2,68,1,54,00:57.7,5,1,2,Preoccupied
28774-026707,51:26.0,Survey,2,69,1,55,02:02.9,3,1,2,Hungry
28774-026707,31:45.0,Survey,2,70,1,56,06:55.9,5,1,3,Focused
28774-026707,53:11.0,Survey,3,72,1,57,00:43.3,5,1,3,Hungry
28774-026707,00:39.0,Survey,3,74,1,58,01:03.5,5,1,2,Tired
28774-026707,39:49.0,Survey,3,75,1,59,00:35.6,3,1,3,Full
28774-026707,10:47.0,Survey,3,77,1,60,00:46.6,5,1,3,Hungry
28774-026707,36:46.0,Survey,3,78,1,61,00:36.4,5,1,3,Lazy
28774-026707,40:24.0,Survey,3,79,1,62,01:42.6,5,1,3,Hot
28774-026707,58:26.0,Survey,3,80,1,63,03:40.0,5,1,3,Tired
28774-026707,19:46.0,Survey,3,83,1,64,00:41.7,5,1,3,Hot
28774-026707,23:27.0,Survey,3,84,1,65,01:26.4,5,1,2,Hot
28774-026707,12:54.0,Survey,3,85,1,66,00:58.4,5,1,3,Full
28774-026707,40:52.0,Survey,3,87,1,67,00:58.5,5,1,3,Relaxed
